CASE	id	filename	md5	size	state
TCGA-GM-A2DH	0b5c884a-0ca1-4aa3-8fc4-b17b25c4d602	jhu-usc.edu_BRCA.HumanMethylation450.18.lvl-3.TCGA-GM-A2DH-01A-11D-A17Z-05.gdc_hg38.txt	3c10e0e79788a9923c2509596e211ba0	141270806	validated
TCGA-A2-A0CK	1f39c2e2-0251-4c5e-88d3-0e116f3e5881	jhu-usc.edu_BRCA.HumanMethylation450.23.lvl-3.TCGA-A2-A0CK-01A-11D-A22B-05.gdc_hg38.txt	ee1e8c918a30d2ef08fa9c28612aae6e	141282286	validated
TCGA-AR-A1AQ	38f4e360-0cba-4bd0-ae47-a09cb9fcef72	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-AR-A1AQ-01A-11D-A12R-05.gdc_hg38.txt	8c674a6a23b07bfe5829e67b0388e4f1	141280605	validated
TCGA-AR-A5QM	4a1774f5-0483-4133-a651-6d6e5e843b1d	jhu-usc.edu_BRCA.HumanMethylation450.36.lvl-3.TCGA-AR-A5QM-01A-11D-A27Y-05.gdc_hg38.txt	c93bccbeeaa1f6ecd592877c5ea219e5	141268741	validated
TCGA-GM-A2DC	4ec4c24a-a9fc-4375-a701-1d1010997cd7	jhu-usc.edu_BRCA.HumanMethylation450.19.lvl-3.TCGA-GM-A2DC-01A-11D-A18O-05.gdc_hg38.txt	c8fe9e96ac62804d8ee0b49f2d8cbcf3	141271979	validated
TCGA-A2-A25B	51d3accd-d8e6-4b41-90a3-6375cb2ca155	jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-A2-A25B-01A-11D-A16A-05.gdc_hg38.txt	76a0be26f5af3f0893491f2b0209b6a2	141273013	validated
TCGA-3C-AAAU	659c1e69-79fe-4dc8-8884-3b350a3a716f	jhu-usc.edu_BRCA.HumanMethylation450.35.lvl-3.TCGA-3C-AAAU-01A-11D-A41Q-05.gdc_hg38.txt	9fbb4623b2d85f21c973d04b5a88bf4a	141197713	validated
TCGA-AR-A0TW	747b9b27-e681-40f5-a9c2-82af4cbd1250	jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-AR-A0TW-01A-11D-A10P-05.gdc_hg38.txt	8ffb09836d0c76edfb872a6a3fba096e	141264216	validated
TCGA-AR-A24Z	9e7a15d8-ec94-428f-ab8d-e6aa66b1fad0	jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-AR-A24Z-01A-11D-A16A-05.gdc_hg38.txt	6edb85c3a1f07af17e1392bcc4ef8e2a	141283024	validated
TCGA-B6-A401	a2d1b6c1-f4ed-4cac-b151-1fecacc06719	jhu-usc.edu_BRCA.HumanMethylation450.25.lvl-3.TCGA-B6-A401-01A-11D-A23D-05.gdc_hg38.txt	ed57a15e1f9fff9d31140b552ef42ab6	141267328	validated
TCGA-BH-A0B5	b531d88c-27e1-4f31-88c5-22aee5242d53	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-BH-A0B5-01A-11D-A12R-05.gdc_hg38.txt	a67e4bde3d7ce1f9a3e02282ac0c9b77	141274504	validated
TCGA-B6-A0RE	b5dc016b-df8c-4eae-85e9-e87c20c9d9e7	jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-B6-A0RE-01A-11D-A10P-05.gdc_hg38.txt	04b7784f38a4301b5e0ba7c8590bfdcc	141282490	validated
TCGA-AC-A2FO	be58fdbf-a0da-46db-89ac-5dc518bdc634	jhu-usc.edu_BRCA.HumanMethylation450.18.lvl-3.TCGA-AC-A2FO-01A-11D-A17Z-05.gdc_hg38.txt	b9b9e3eb3bc8e1b2af62bd32634f30f1	141263627	validated
TCGA-A7-A13H	bf164524-105b-4511-b8b3-4fc0e43a2e06	jhu-usc.edu_BRCA.HumanMethylation450.23.lvl-3.TCGA-A7-A13H-01A-11D-A22B-05.gdc_hg38.txt	0b60a6a60aeacb6cead77142b169d916	141280250	validated
TCGA-B6-A0X1	c67536be-dded-48f0-90e7-b125d66ed827	jhu-usc.edu_BRCA.HumanMethylation450.5.lvl-3.TCGA-B6-A0X1-01A-11D-A10A-05.gdc_hg38.txt	09f87afe25d6f8a2f209b63db22f32f8	141292106	validated
TCGA-AR-A0TQ	e1d9243a-e872-4f59-b5d7-b0ad748a1874	jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-AR-A0TQ-01A-11D-A10P-05.gdc_hg38.txt	a5d45df1469e8e1671be395154977956	141269519	validated
TCGA-B6-A402	f2c68c0f-e04c-45bb-8e52-8772fa7e446b	jhu-usc.edu_BRCA.HumanMethylation450.25.lvl-3.TCGA-B6-A402-01A-11D-A23D-05.gdc_hg38.txt	9a6a4f19b36bcad827a95b9bbd8450b1	141295391	validated
TCGA-E2-A2P5	0afbeb88-395d-4656-8a4b-451788afcd34	jhu-usc.edu_BRCA.HumanMethylation450.20.lvl-3.TCGA-E2-A2P5-01A-11D-A19Z-05.gdc_hg38.txt	45042858ce5e56d75c42e058652a4e67	141272036	validated
TCGA-LL-A73Z	0db91343-ac91-4a5b-95dc-60414049a0c0	jhu-usc.edu_BRCA.HumanMethylation450.31.lvl-3.TCGA-LL-A73Z-01A-11D-A32T-05.gdc_hg38.txt	c6852b3ca0157bb361cac5fd402e91a0	141242631	validated
TCGA-AR-A2LK	1f42f66c-51cf-415a-bb7a-45c74da5ea61	jhu-usc.edu_BRCA.HumanMethylation450.18.lvl-3.TCGA-AR-A2LK-01A-11D-A17Z-05.gdc_hg38.txt	8e32e637e5ab94bdfb89e462be2607b6	141277985	validated
TCGA-AC-A2FF	1ff6aaa2-ecd7-487f-993d-851f709d5f62	jhu-usc.edu_BRCA.HumanMethylation450.17.lvl-3.TCGA-AC-A2FF-01A-11D-A17F-05.gdc_hg38.txt	674363b2156b6d1da6f2037f727f8427	141272617	validated
TCGA-LQ-A4E4	2209732b-d8a9-4051-ad5b-5325800eebb1	jhu-usc.edu_BRCA.HumanMethylation450.27.lvl-3.TCGA-LQ-A4E4-01A-11D-A268-05.gdc_hg38.txt	21d4b77c642f80ae34f05e925103af73	141262628	validated
TCGA-B6-A40B	2371f886-bf6d-4df1-b35f-3aff0c1024ac	jhu-usc.edu_BRCA.HumanMethylation450.25.lvl-3.TCGA-B6-A40B-01A-11D-A23D-05.gdc_hg38.txt	f5e16f682ca407412e438f34567a10da	141272172	validated
TCGA-AC-A2FM	2481e53b-8cc7-4b21-b542-c6536d90a2eb	jhu-usc.edu_BRCA.HumanMethylation450.20.lvl-3.TCGA-AC-A2FM-01A-11D-A19Z-05.gdc_hg38.txt	1df92cd913e0e6e7a72120dedb5a34bd	141268988	validated
TCGA-A2-A1FX	3548f948-1245-4a49-9d2f-fe65b9058d6f	jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-A2-A1FX-01A-11D-A13K-05.gdc_hg38.txt	a06f7529c62c4ed997e2c8e8b06ed06e	141276407	validated
TCGA-E2-A1IG	494ae191-f85f-4856-88fe-7feef3be9878	jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E2-A1IG-01A-11D-A145-05.gdc_hg38.txt	18384afff2817bd890f6e1830e5e25db	141285493	validated
TCGA-AR-A1AI	58e9486c-9c2e-4f80-a27b-d8945f97a804	jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-AR-A1AI-01A-11D-A12R-05.gdc_hg38.txt	5c979ab510be9b715ad95c87fd71594e	141286731	validated
